avg_data_time,avg_fb_time,avg_opt_time,avg_step_time,grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,param_norm,samples,seg_ce,seg_ce_q0,seg_ce_q1,seg_ce_q2,seg_ce_q3,seg_dice,seg_dice_q0,seg_dice_q1,seg_dice_q2,seg_dice_q3,seg_focal,seg_focal_q0,seg_focal_q1,seg_focal_q2,seg_focal_q3,seg_presence,seg_presence_q0,seg_presence_q1,seg_presence_q2,seg_presence_q3,step
3.5536110401153564,1.4628489017486572,0.2710292339324951,1.8793566226959229,0.9999995126420724,1.7046537399291992,1.954426646232605,1.8245452642440796,1.7286861737569175,1.3588863015174866,1.0008931159973145,1.0022976398468018,0.9983047246932983,1.0015506744384766,0.999796599149704,249.76241639357292,8,0.6812916398048401,0.19607721269130707,0.35720765590667725,0.857353945573171,1.0644546747207642,0.9847725629806519,0.9835343360900879,0.9792511463165283,0.9827361702919006,0.9918261468410492,0.39985013008117676,0.39985013008117676,0.39985013008117676,0.39985013008117676,0.39985013008117676,0.7610751390457153,0.7610751390457153,0.7610751390457153,0.7610751390457153,0.7610751390457153,0
0.0006723427772521973,0.4850346279144287,0.17154027938842772,0.7100606536865235,0.9999995044339399,1.5409891057014462,1.7826534933079783,1.6552488161967343,1.5406198641503916,1.2231585979461663,0.8806041783094407,0.8815865581804286,0.8795346596302128,0.8863829262379745,0.8748525446681885,249.77081124562037,808,0.6062125745415693,0.19045015005140348,0.3681795168381473,0.7989508937781964,0.9959145236813846,0.9783183705806728,0.9662146887492614,0.9762996753056842,0.9835333362431596,0.9854850292776188,0.3487210597097873,0.3063220406979155,0.3397527065032572,0.36597811728016305,0.37662582570000724,0.5641022691130643,0.5411662167864418,0.5629119220452429,0.5665103933061234,0.5828414308397394,100
0.0007646465301513672,0.4466166758537293,0.19222006797790528,0.6940964245796204,0.999999429029829,1.240334498882294,1.5181525217488483,1.311065460908859,1.1900689107615783,0.9509720148109815,0.6430966895818712,0.6699103369501427,0.6356009834590436,0.6312655565215309,0.6352133044382415,249.7956035809758,1608,0.45625888705253587,0.172977782528976,0.2542259096302451,0.5780215495970185,0.7993071210093611,0.9745846772193906,0.9640865880867532,0.9706853057611443,0.9792910666000554,0.9838309378158756,0.24432181723415855,0.22681176629412922,0.21560616125875623,0.25727704501733517,0.2749000919301335,0.26060679957270594,0.2693842041301608,0.2509518029058679,0.2578769357466115,0.26345213291848607,200
0.030750715732574464,0.46956907749176025,0.18358808279037475,0.7094093489646912,0.9999993428571823,0.9924854856729509,1.2977818088914872,1.0655734230732103,0.9245509207248687,0.7118082816520951,0.4558783426880836,0.4863707108713281,0.4435824058179195,0.44796346415073557,0.4453374605144609,249.82182025427338,2408,0.3413523177802563,0.1622594466161489,0.1769100114189346,0.39221352181576796,0.595728877628819,0.9699509006738662,0.962964423637294,0.9637989001027468,0.9723661662241737,0.9792055758562959,0.16542459703981885,0.1502465602740571,0.14762382063714916,0.1724170276878077,0.18740265698809377,0.15873841701075428,0.15858928969682173,0.15249895629869123,0.15519659350190404,0.16776932621793586,300
0.0006095623970031738,0.47092594385147096,0.1854674005508423,0.7095466709136963,0.9999992407932641,0.8094320303201678,1.1152993660528672,0.8651241581452072,0.7170886240824308,0.5295524971569003,0.30934370607137673,0.3301966437726347,0.2996929727381257,0.30473879258139,0.30189275906313584,249.84570602620218,3208,0.24105425536632522,0.15663113264204237,0.13977686433017555,0.24754744625151764,0.4222460056669146,0.9624918341636662,0.963154909390848,0.9549825067447527,0.9578920316816578,0.9738159721820193,0.09595195684581997,0.08684522307758198,0.08928394366793219,0.09688477767537346,0.11105189266516345,0.12316473020240672,0.1380453219691526,0.11544878652253138,0.12072667754208198,0.11782489818094967,400
0.03015674591064453,0.45690404415130614,0.18005934476852417,0.690975410938263,0.9584816129786004,0.6567861598730087,0.9853258568989608,0.7350794842823803,0.5569042527853556,0.3907820300923449,0.1934396339952945,0.21413075249446056,0.18750610715984664,0.18677736574144507,0.1867404371086097,249.8707280357205,4008,0.18127590939402582,0.15651890188455583,0.11970979075666538,0.14659198825780428,0.29033868946135044,0.9543004435300827,0.9622374098551899,0.9499795171263307,0.9402605206219113,0.9642446027309807,0.05594497935846448,0.05017285287184153,0.05384377067802483,0.05531273975004604,0.06348811578936878,0.0921714833751321,0.10013325648676408,0.08534111085931712,0.08631536673142837,0.09672057804979244,500
0.0006716179847717285,0.47316858291625974,0.19119415044784546,0.7184387969970704,0.7988340971360267,0.57695052921772,0.8947951448136479,0.6451777674488187,0.4525357458602498,0.2919432816446805,0.11487240821123122,0.13101478352926801,0.10992184776774387,0.10980009535948437,0.10784812633945637,249.8963341719731,4808,0.14710564106702814,0.1576564947620106,0.116257651411381,0.10494207790880294,0.2176401371675762,0.9448506361246111,0.9610732223676596,0.9385705264573251,0.9244623675390526,0.9572229476574343,0.03599813374690709,0.03268956344862633,0.03302104152815858,0.035885702322789134,0.0430293639643433,0.07858948275272272,0.08352198705171654,0.07421561962140001,0.07933570485248412,0.07676607884035339,600
0.03065274715423584,0.4620778226852417,0.15692468643188476,0.6736238884925843,0.6365325930956662,0.5201897218823429,0.8552137310688314,0.6037851943797672,0.3961513390143713,0.24407456948685996,0.07569261018186801,0.09863730168495415,0.07049520559532116,0.06745407994659175,0.06705665510537026,249.91614770472958,5608,0.12376902267336844,0.15617825877972152,0.11497598698305096,0.07631829533548587,0.15038942608667238,0.9325851362943652,0.9621193519005414,0.9318714366131226,0.9030798367091586,0.9354478325416788,0.025432277666404844,0.024593151652087013,0.024248542892986658,0.024004018138207156,0.028881076769671638,0.07045941885007781,0.08580700920802203,0.06781224924641939,0.06588086347009744,0.06290851045757262,700
0.0006923460960388183,0.4840023350715637,0.18418044567108155,0.7237164282798767,0.5722036605964157,0.49973855137824996,0.8275820487584815,0.5805074673323403,0.37189031670342626,0.21523617906975998,0.05327736288309096,0.07175973525796181,0.04842465326544785,0.04728412833898811,0.046162139355521804,249.93218585359875,6408,0.11350717924535275,0.15630494463138106,0.11346028326522727,0.06551721078617058,0.12026113577033444,0.9260770237445827,0.9634404610364862,0.9423807527337754,0.8916833611270086,0.9065072889795008,0.02252423277124763,0.021945778992122546,0.020519550871990984,0.02166475143876687,0.02616617830527811,0.07445299384766263,0.09116932200506712,0.07083831568736408,0.07119302121825068,0.06494089550477901,800
0.03171642065048218,0.44204159736633303,0.1923224902153015,0.6908555173873902,0.5597272221198719,0.4941238829493522,0.8192221138958639,0.5747763887800362,0.3612808105913367,0.19687314291356836,0.0433023779466748,0.05903692519021151,0.03972855665617513,0.03684358256491454,0.036199609539015014,249.94996825873568,7208,0.10874297305941587,0.15865069767678838,0.11580753232343034,0.0617934999635091,0.09235338651228185,0.9178421765565874,0.9619955859833487,0.9381257894665307,0.8926142209285013,0.8749320840134339,0.02057235121726991,0.02051515193402489,0.019454546122237886,0.019615610809745016,0.02258463470520925,0.06842696223873646,0.07865775974703512,0.06724006874072884,0.059851547620083025,0.0666735149239756,900
0.000764758586883545,0.4808522343635559,0.1874619245529175,0.7216366004943847,0.4664385980391565,0.4804225039482117,0.8031372651059362,0.5691682451537683,0.35002128423099815,0.18240405877374793,0.03565047901123761,0.04761488443828203,0.034321593237109475,0.031117881923704085,0.03011507888070562,249.96864779896478,8008,0.10216649547219275,0.15840742533857177,0.11639922188727984,0.05843388506959023,0.07722252702594486,0.916514197587967,0.9601410939731703,0.9405286751155352,0.8914808250369042,0.8698928318917758,0.018062493773177254,0.0185306768934118,0.016371250747137578,0.01679561510157418,0.021250751451589174,0.061873592862393724,0.07205871084734881,0.05826884077915959,0.05290570866946182,0.06649294932007745,1000
0.0006904053688049316,0.4365541362762451,0.18826463222503662,0.6773436641693116,0.45160536830894826,0.4683400082588195,0.8024583854205871,0.5642820769462027,0.3384396557276152,0.1732115200435628,0.03518810596317053,0.050984853695248085,0.03263020588328012,0.029606182411240023,0.028144357279323205,249.98226802924555,8808,0.0954959264025092,0.1570091771801518,0.11441757810720499,0.05274704845585662,0.05943435303182629,0.8997136741876605,0.9616635386190266,0.9365626585080431,0.8706649088976428,0.8300294134081625,0.016395849632099266,0.0166307474279033,0.01531663062815793,0.016115382984828425,0.01759624889367543,0.06019718955154531,0.0690489931664203,0.05936775891029315,0.05735579824791853,0.05531421950566864,1100
0.028952045440673826,0.46909881591796876,0.17953280925750734,0.7036951279640198,0.44692946282623924,0.4748494467139244,0.8130759154215895,0.5730166529874662,0.3395259793052511,0.16409609905270287,0.033731886576861186,0.04984380225512646,0.030724643495693028,0.02774835376885167,0.026291648344845306,249.99295662667518,9608,0.0934725975617766,0.15901940485628527,0.11670809878274731,0.051312282053607224,0.04257015714591198,0.8951045900583267,0.9625638867958938,0.9434527816930657,0.8689747616816103,0.803347956050526,0.014451361456885935,0.014720846387087415,0.014266236583697852,0.013622359356978973,0.01508383880676835,0.05996509179822169,0.071314217378662,0.05705522878373578,0.05763125212096579,0.053921461134868294,1200
0.0008357620239257813,0.46683191299438476,0.16949172019958497,0.6904987287521362,0.4095626766232666,0.45609760940074917,0.7907453961473289,0.5602641206979743,0.3439997433183282,0.15676077169003758,0.0300578298792243,0.040347057527729435,0.029559703227132562,0.026555824380081444,0.0245572315905188,250.00737541906463,10408,0.08991957619786259,0.15912260209757204,0.11462326858192681,0.0517127270129724,0.040298465020000326,0.8908545380830764,0.9580834019121037,0.936679036319256,0.8726407504425594,0.801777255946192,0.013815528638660908,0.013840015672107853,0.013275479897856714,0.013189148645883858,0.014966606162488467,0.057329733134247364,0.06815756769190547,0.049264004179276545,0.05907308978539025,0.05340888030744466,1300
0.028491742610931396,0.4703428506851196,0.177267005443573,0.6991645622253418,0.48106667902381073,0.4575232586264612,0.7975891615877201,0.5637163346268468,0.3307735698648019,0.15181040033334645,0.030416439902037382,0.04227740774352349,0.029327409505152818,0.025884446097851396,0.024398888583953792,250.01866118791398,11208,0.09022822938859455,0.15883998423065962,0.114706069691894,0.04751839780128829,0.04254503708060195,0.8846972346305848,0.9585315791805782,0.9395960532512867,0.8611824403304865,0.78424152601056,0.015200620647519827,0.01584474371521543,0.014551639333655376,0.013483064371336367,0.016881929194872705,0.06728913271392224,0.07958856075955323,0.06035856699412592,0.07136745297287751,0.05788973211026861,1400
