avg_data_time,avg_fb_time,avg_opt_time,avg_step_time,grad_norm,loss,loss_q0,loss_q1,loss_q2,mse,mse_q0,mse_q1,mse_q2,param_norm,samples,seg_ce,seg_ce_q0,seg_ce_q1,seg_ce_q2,seg_dice,seg_dice_q0,seg_dice_q1,seg_dice_q2,seg_focal,seg_focal_q0,seg_focal_q1,seg_focal_q2,seg_presence,seg_presence_q0,seg_presence_q1,seg_presence_q2,step,loss_q3,mse_q3,seg_ce_q3,seg_dice_q3,seg_focal_q3,seg_presence_q3
3.5595273971557617,1.1849896907806396,0.13543224334716797,1.4375848770141602,0.9999996025078071,1.7873423099517822,1.8678945302963257,1.7881284753481548,1.702073574066162,1.0011824369430542,0.99526447057724,1.00148140390714,1.005306601524353,248.29738551424524,8,0.4972875714302063,0.21460813283920288,0.4874778985977173,0.8388248682022095,0.9878459572792053,0.983217179775238,0.9875341057777405,0.9943457245826721,0.2705989181995392,0.2705989181995392,0.2705989181995392,0.2705989181995392,0.8734485507011414,0.8734485507011414,0.8734485507011414,0.8734485507011414,0,,,,,,
0.0006902813911437988,0.42543940544128417,0.1516786766052246,0.62730384349823,0.9999995147037727,1.55137554526329,1.7752707811317063,1.6378593784599498,1.5416456050770244,0.8789021843671799,0.8751918393554107,0.8720993644373426,0.8806329337499476,248.30437383124968,808,0.5964326794445515,0.1905386127305754,0.3739736052814891,0.8044679719273763,0.9774932432174686,0.9653625184237355,0.9760440829871352,0.9833244883245035,0.34137467011809364,0.2992673264157894,0.31821159485745526,0.36652786260651,0.507775558978319,0.48527734944916734,0.48559299312927856,0.5147932473049373,100,1.2622671857404932,0.8876146870937079,1.0161527107206823,0.9852312626450828,0.3818221190614561,0.5448145378719683
0.0007490658760070801,0.478062219619751,0.1579647731781006,0.68530268907547,0.999999439933929,1.2448716485500324,1.4992366553588232,1.3159408580425187,1.199090913931528,0.6391363030672071,0.6530622067846781,0.635743293096853,0.6347650905450186,248.32688410424234,1608,0.4602211660146716,0.17213109946312696,0.27004795296247597,0.6027228369599305,0.9752933210134502,0.9660085958520362,0.9698721469834795,0.981547018459864,0.2470375054329634,0.22256510380481817,0.23838678726623236,0.2561017784689156,0.18938719032332293,0.20765975793254182,0.17688102966477695,0.18223066779651836,200,0.9440014568658983,0.6334206438981568,0.8259534252868895,0.984327528830413,0.2727494866556518,0.1930415239696809
0.030372743606567384,0.4310052227973938,0.1678248906135559,0.6485685777664184,0.9999993238685786,0.9921078008413318,1.2811040106941673,1.052724942104103,0.9235990455913052,0.44543782830238354,0.46351387848456693,0.43816924141239877,0.4402226494048452,248.3456082904523,2408,0.3480721545219422,0.1626507524473994,0.1883751776107808,0.4166170647604214,0.9702619636058809,0.963407588063502,0.96357577117448,0.9728426055859793,0.17122424807399514,0.15664616135843823,0.1601897934163662,0.18088070728678984,0.1453007355518639,0.15258717761539345,0.1399374096414323,0.1430444309610854,300,0.7129920706516358,0.4393401882997375,0.6178469511066998,0.9809304007669772,0.18689396236000977,0.1452936284789226
0.0006725931167602539,0.469346239566803,0.15652907371520997,0.6755348181724549,0.9998635718718993,0.7878276205062865,1.098800762935921,0.8527488873029745,0.7057595670223235,0.29474919125437726,0.31351075498830694,0.28576731759433927,0.29125948914072686,248.3688876841887,3208,0.24334290146827708,0.1569080273941082,0.13862698098334159,0.24819513522088518,0.9643246227502823,0.9628667957568298,0.9553364903355633,0.9624349613081329,0.09971532939001916,0.09154261025802168,0.08393347616462664,0.10501125595447688,0.10794977646321056,0.1155649703784437,0.10153956351374899,0.1083753051151606,400,0.5205721670958267,0.2894543132290765,0.4211024817210347,0.9764702466864084,0.11684927859123623,0.10643154999531394
0.03024979829788208,0.43083499908447265,0.16403189182281494,0.6420781517028809,0.9313116843560173,0.6419740816950799,0.9581275476610722,0.7204233302010429,0.5420332276126716,0.1781694087386131,0.19341376739476096,0.17317061656051216,0.17544807833664625,248.39009213602665,4008,0.17823821172118193,0.15406499135083182,0.12084530769950821,0.1458590415134592,0.955814653038979,0.964619445389714,0.9457187645965148,0.9439788015143384,0.05529409038834272,0.04821246475201521,0.05113216221539512,0.05472060608523853,0.0956215679738671,0.10505438362032608,0.08953147129052208,0.0850025682022921,500,0.3684565375484,0.17042424688689511,0.2820675746665747,0.9675116640696592,0.06621757305063905,0.10210910247488746
0.0006325125694274902,0.4612958812713623,0.1622150135040283,0.6726422929763793,0.7730099438721029,0.5560995906591417,0.8963138580322264,0.6408100673808389,0.4364931326148642,0.10606101319193836,0.12861589241672217,0.10082686206891171,0.09880805953915396,248.40954082717806,4808,0.14337813757359982,0.15837563767626497,0.11666060802503607,0.09874946950882106,0.942766723036766,0.9599005367304827,0.9420337072059284,0.9229728472682668,0.03576085252687335,0.034692911249963,0.03301446255648615,0.03404441327383779,0.08243566228076812,0.09047055595327869,0.07772777431565726,0.08097876088676159,600,0.2857536595351624,0.09822456428025028,0.20306607719400135,0.9485780245596818,0.04127312303142677,0.08129057934563055
0.03092942714691162,0.4604343819618225,0.1504861330986023,0.6621166896820069,0.6377318707832612,0.5224338182806969,0.8408531414137951,0.6078311390589668,0.39054579903873127,0.0664520797878504,0.08033620762292303,0.06304411104446304,0.060834949603304246,248.4258553691749,5608,0.12789774209260937,0.15713666141897017,0.1169906590543492,0.07940456109981128,0.9368411993980408,0.9623305279275645,0.9441052528576074,0.9077231869674648,0.029421382965520045,0.027401274740515996,0.028761700814814165,0.026624472740177922,0.08449099141522316,0.09061066466265537,0.085810250406707,0.08272113876535939,700,0.2400060837569924,0.06101533004380374,0.15943061852270787,0.9337114221656441,0.03522508925537474,0.07855995286666527
0.0006205105781555176,0.4622790288925171,0.16048556566238403,0.6713641524314881,0.6051246472270722,0.4909523725509643,0.839945689135907,0.580426406959144,0.35832067131996154,0.05103355418890715,0.07146229746514088,0.04562258374625149,0.04371677548056694,248.44271992337892,6408,0.11402088262140746,0.1600523041743858,0.11480568954463818,0.06581578443690039,0.9266968321800236,0.9606232987899408,0.9431699662577377,0.8927364093501395,0.02437444334849716,0.02345403953564955,0.023634733781424354,0.023178470007530077,0.08088042855728421,0.09518724729708739,0.07369974989557222,0.07244036660143517,800,0.20428600197746644,0.04299480003260431,0.11568557664397214,0.9126932674930213,0.027073606893065445,0.08141054529918441
0.03220996379852295,0.4686948442459106,0.1626218605041504,0.6846695113182067,0.518738784391647,0.48865576952695833,0.8128949212473494,0.5719157042194951,0.3509238200743546,0.03998417781665921,0.052519162891562624,0.03731346168365347,0.0347139968777473,248.4552761278318,7208,0.10827796839177604,0.15868525165458047,0.11615005728617239,0.05891132239629044,0.9202380651235581,0.9614762181459467,0.94095711358151,0.8877697958705134,0.020529900072142497,0.019712171621274116,0.01944943339985548,0.019200180751386617,0.07586113733937963,0.08203442180204364,0.06995614785562036,0.07276557767475969,900,0.18802287527224396,0.03406128565807941,0.09064402612088954,0.885037198518087,0.0235865770486518,0.07785461475231767
